Category,Country
ART_AND_DESIGN,JAPAN 
AUTO_AND_VEHICLES,INDIA
BEAUTY,BRAZIL
BOOKS_AND_REFERENCE,UNITED STATES
BUSINESS,UNITED KINGDOM
COMICS,CANADA
COMMUNICATION,GERMANY   
DATING,FRANCE
EDUCATION,ITALY
ENTERTAINMENT,SPAIN
EVENTS,NETHERLANDS
FINANCE,AUSTRALIA
FOOD_AND_DRINK,SWITZERLAND
HEALTH_AND_FITNESS,SWEDEN
HOUSE_AND_HOME,NORWAY
LIBRARIES_AND_DEMO,SOUTH KOREA
LIFESTYLE,MEXICO
MAPS_AND_NAVIGATION,ARGENTINA
MEDICAL,CHINA
MUSIC,INDONESIA
NEWS_AND_MAGAZINES,SAUDI ARABIA
PARENTING,EGYPT
PERSONALIZATION,IRAN
PHOTOGRAPHY,TURKEY
PRODUCTIVITY,PAKISTAN
SHOPPING,RUSSIA
SOCIAL,THAILAND
SPORTS,VIETNAM
TOOLS,PHILIPPINES
TRAVEL_AND_LOCAL,TAIWAN
VIDEO_PLAYERS,UKRAINE
WEATHER,UNITED ARAB EMIRATES
FAMILY,UNITED STATES
GAME,UNITED STATES

